[2026-02-19 05:12:55,620][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/google/gemma-3-1b-it/resolve/main/config.json "HTTP/1.1 200 OK"
[2026-02-19 05:12:56,020][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/google/gemma-3-1b-it/resolve/main/tokenizer_config.json "HTTP/1.1 200 OK"
[2026-02-19 05:12:56,351][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/google/gemma-3-1b-it/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
[2026-02-19 05:12:56,661][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/google/gemma-3-1b-it/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-02-19 05:12:59,050][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/databricks/databricks-dolly-15k/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
[2026-02-19 05:12:59,060][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/databricks/databricks-dolly-15k/bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a/README.md "HTTP/1.1 200 OK"
[2026-02-19 05:12:59,377][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/databricks/databricks-dolly-15k/resolve/bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a/databricks-dolly-15k.py "HTTP/1.1 404 Not Found"
[2026-02-19 05:13:00,093][httpx][INFO] - HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/databricks/databricks-dolly-15k/databricks/databricks-dolly-15k.py "HTTP/1.1 404 Not Found"
[2026-02-19 05:13:00,423][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/databricks/databricks-dolly-15k/revision/bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a "HTTP/1.1 200 OK"
[2026-02-19 05:13:00,733][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/databricks/databricks-dolly-15k/resolve/bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a/.huggingface.yaml "HTTP/1.1 404 Not Found"
[2026-02-19 05:13:01,135][httpx][INFO] - HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=databricks/databricks-dolly-15k "HTTP/1.1 200 OK"
[2026-02-19 05:13:01,435][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/databricks/databricks-dolly-15k/tree/bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a/data?recursive=true&expand=false "HTTP/1.1 404 Not Found"
[2026-02-19 05:13:01,732][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/databricks/databricks-dolly-15k/tree/bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a?recursive=false&expand=false "HTTP/1.1 200 OK"
[2026-02-19 05:13:02,109][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/databricks/databricks-dolly-15k/resolve/bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a/dataset_infos.json "HTTP/1.1 404 Not Found"
[2026-02-19 05:13:03,530][datasets.fingerprint][WARNING] - Parameter 'function'=<function prepare_training_dataset.<locals>.<lambda> at 0x12eb95620> of the transform datasets.arrow_dataset.Dataset._map_single couldn't be hashed properly, a random hash was used instead. Make sure your transforms and parameters are serializable with pickle or dill for the dataset fingerprinting and caching to work. If you reuse this transform, the caching mechanism will consider it to be different from the previous calls and recompute everything. This warning is only shown once. Subsequent hashing failures won't be shown.
